№,Имя,Род,Текст,Ссылка
51,Лайнус Полинг,Муж,Как автор проекта договора о запрещении ядерных испытаний.,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D0%B8%D0%BD%D0%B3,_%D0%9B%D0%B0%D0%B9%D0%BD%D1%83%D1%81"
52,Мартин Лютер Кинг,Муж,"За деятельность в пользу равноправия темнокожих.
Роль: лидер «Южной конференции христианских лидеров».","https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D0%BD%D0%B3,_%D0%9C%D0%B0%D1%80%D1%82%D0%B8%D0%BD_%D0%9B%D1%8E%D1%82%D0%B5%D1%80"
53,Рене Кассен,Муж,"В ознаменование 20-й годовщины принятия Декларации прав человека.
Роль: председатель Европейского суда по правам человека.","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%81%D1%81%D0%B5%D0%BD,_%D0%A0%D0%B5%D0%BD%D0%B5"
54,Норман Борлоуг,Муж,"За вклад в решение продовольственной проблемы, и особенно за осуществление «зелёной революции».
Роль: участник Международного центра улучшения кукурузы и пшеницы.","https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D1%80%D0%BB%D0%BE%D1%83%D0%B3,_%D0%9D%D0%BE%D1%80%D0%BC%D0%B0%D0%BD_%D0%AD%D1%80%D0%BD%D0%B5%D1%81%D1%82"
55,Вилли Брандт,Муж,"В знак признания конкретных инициатив, повлёкших ослабление напряжённости между Востоком и Западом.
Роль: канцлер ФРГ.","https://ru.wikipedia.org/wiki/%D0%91%D1%80%D0%B0%D0%BD%D0%B4%D1%82,_%D0%92%D0%B8%D0%BB%D0%BB%D0%B8"
56,Генри Киссинджер,Муж,"В знак признания заслуг в связи с перемирием во Вьетнаме.
Роль: государственный секретарь США.","https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D1%81%D1%81%D0%B8%D0%BD%D0%B4%D0%B6%D0%B5%D1%80,_%D0%93%D0%B5%D0%BD%D1%80%D0%B8"
57,Ле Дык Тхо,Муж,В знак признания заслуг в связи с перемирием во Вьетнаме.,https://ru.wikipedia.org/wiki/%D0%9B%D0%B5_%D0%94%D1%8B%D0%BA_%D0%A2%D1%85%D0%BE
58,Шон Макбрайд,Муж,"За создание международных механизмов наблюдения за состоянием прав человека.
Роль: председатель комиссии по Намибии ООН, президент Международного бюро мира.","https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D0%B1%D1%80%D0%B0%D0%B9%D0%B4,_%D0%A8%D0%BE%D0%BD"
59,Эйсаку Сато,Муж,"За политику антимилитаризма.
Роль: премьер-министр Японии.","https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D1%82%D0%BE,_%D0%AD%D0%B9%D1%81%D0%B0%D0%BA%D1%83"
60,Андрей Сахаров,Муж,"За бесстрашную поддержку фундаментальных принципов мира между людьми и мужественную борьбу со злоупотреблением властью и любыми формами подавления человеческого достоинства.
Роль: советский физик-ядерщик.","https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D1%85%D0%B0%D1%80%D0%BE%D0%B2,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%B8%D1%87"
61,Бетти Уильямс,Жен,"В знак признания заслуг в деле мира.
Роль: основательницы движения за мир в Северной Ирландии.","https://ru.wikipedia.org/wiki/%D0%A3%D0%B8%D0%BB%D1%8C%D1%8F%D0%BC%D1%81,_%D0%91%D0%B5%D1%82%D1%82%D0%B8"
62,Мейрид Корриган,Жен,"В знак признания заслуг в деле мира.
Роль: основательницы движения за мир в Северной Ирландии.","https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D1%80%D0%B8%D0%B3%D0%B0%D0%BD,_%D0%9C%D0%B5%D0%B9%D1%80%D0%B8%D0%B4"
63,Анвар Садат,Муж,"За подготовку и заключение основополагающих соглашений между Израилем и Египтом.
Роль: президент Египта.","https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%B4%D0%B0%D1%82,_%D0%90%D0%BD%D0%B2%D0%B0%D1%80"
64,Менахем Бегин,Муж,"За подготовку и заключение основополагающих соглашений между Израилем и Египтом.
Роль: премьер-министр Израиля.","https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%B3%D0%B8%D0%BD,_%D0%9C%D0%B5%D0%BD%D0%B0%D1%85%D0%B5%D0%BC"
65,Мать Тереза,Жен,"Утверждает мир в самой важной сфере, защищая неприкосновенность человеческого достоинства.
Роль: основатель организации «Сёстры — миссионерки любви».",https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%82%D1%8C_%D0%A2%D0%B5%D1%80%D0%B5%D0%B7%D0%B0
66,Адольфо Эскивель,Муж,"Как борец за права человека.
Роль: лидер в области прав человека, скульптор, архитектор.","https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B5%D1%81_%D0%AD%D1%81%D0%BA%D0%B8%D0%B2%D0%B5%D0%BB%D1%8C,_%D0%90%D0%B4%D0%BE%D0%BB%D1%8C%D1%84%D0%BE"
67,Альва Мюрдаль,Жен,"За крупный вклад в дело разоружения.
Роль: писатель, дипломат, член кабинета министров.","https://ru.wikipedia.org/wiki/%D0%9C%D1%8E%D1%80%D0%B4%D0%B0%D0%BB%D1%8C,_%D0%90%D0%BB%D1%8C%D0%B2%D0%B0"
68,Альфонсо Роблес,Муж,"За крупный вклад в дело разоружения.
Роль: министр иностранных дел, делегат Генеральной Ассамблеи Организации Объединённых Наций по разоружению, дипломат.","https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D1%80%D1%81%D0%B8%D1%8F_%D0%A0%D0%BE%D0%B1%D0%BB%D0%B5%D1%81,_%D0%90%D0%BB%D1%8C%D1%84%D0%BE%D0%BD%D1%81%D0%BE"
69,Лех Валенса,Муж,"Как борец за права человека.
Роль: профсоюзный лидер.","https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%81%D0%B0,_%D0%9B%D0%B5%D1%85"
70,Десмонд Туту,Муж,"За мужество и героизм, проявленные в борьбе против апартеида.
Роль: генеральный секретарь Совета церквей ЮАР, епископ Йоханнесбурга.","https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D1%82%D1%83,_%D0%94%D0%B5%D1%81%D0%BC%D0%BE%D0%BD%D0%B4"
71,Эли Визель,Муж,"За приверженность тематике, посвящённой страданиям еврейского народа, жертвам нацизма.
Роль: председатель «Президентской комиссии по Холокосту».","https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%B7%D0%B5%D0%BB%D1%8C,_%D0%AD%D0%BB%D0%B8"
72,Оскар Санчес,Муж,"ак инициатор мирных переговоров в Центральной Америке.
Роль: президент Коста-Рики.","https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%B8%D0%B0%D1%81_%D0%A1%D0%B0%D0%BD%D1%87%D0%B5%D1%81,_%D0%9E%D1%81%D0%BA%D0%B0%D1%80"
73,14-й Далай-лама,Муж,"За неустанную проповедь добросердечия, любви и терпимости в отношениях между отдельными людьми, сообществами и народами.",https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%BB%D0%B0%D0%B9-%D0%BB%D0%B0%D0%BC%D0%B0_XIV
74,Михаил Горбачёв,Муж,"В знак признания его ведущей роли в мирном процессе, который сегодня характеризует важную составную часть жизни международного сообщества.
Роль: президент СССР.","https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%B1%D0%B0%D1%87%D1%91%D0%B2,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
75,Аун Сан Су Чжи,Жен,За её ненасильственную борьбу за демократию и права человека.,https://ru.wikipedia.org/wiki/%D0%90%D1%83%D0%BD_%D0%A1%D0%B0%D0%BD_%D0%A1%D1%83_%D0%A7%D0%B6%D0%B8
76,Ригоберта Менчу,Жен,В знак признания её работы за социальную справедливость и этнокультурное примирение на основе уважения прав коренных народов.,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BD%D1%87%D1%83,_%D0%A0%D0%B8%D0%B3%D0%BE%D0%B1%D0%B5%D1%80%D1%82%D0%B0"
77,Нельсон Мандела,Муж,"За работу по мирному прекращению режима апартеида, и за подготовку основы для новой демократической Южно-Африканской Республики.","https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BD%D0%B4%D0%B5%D0%BB%D0%B0,_%D0%9D%D0%B5%D0%BB%D1%8C%D1%81%D0%BE%D0%BD"
78,Фредерик де Клерк,Муж,"За работу по мирному прекращению режима апартеида, и за подготовку основы для новой демократической Южно-Африканской Республики.","https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D0%B5%D1%80%D0%BA,_%D0%A4%D1%80%D0%B5%D0%B4%D0%B5%D1%80%D0%B8%D0%BA_%D0%92%D0%B8%D0%BB%D0%BB%D0%B5%D0%BC_%D0%B4%D0%B5"
79,Ясир Арафат,Муж,"За усилия по достижению мира на Ближнем Востоке.
Роль: председатель Палестинской национальной администрации, председатель исполнительного комитета Организации освобождения Палестины.","https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%B0%D1%84%D0%B0%D1%82,_%D0%AF%D1%81%D0%B8%D1%80"
80,Шимон Перес,Муж,"За усилия по достижению мира на Ближнем Востоке.
Роль: министр иностранных дел Израиля.","https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B5%D1%81,_%D0%A8%D0%B8%D0%BC%D0%BE%D0%BD"
81,Ицхак Рабин,Муж,"За усилия по достижению мира на Ближнем Востоке.
Роль: премьер-министр Израиля","https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D0%B1%D0%B8%D0%BD,_%D0%98%D1%86%D1%85%D0%B0%D0%BA"
82,Джозеф Ротблат,Муж,"За усилия, направленные на снижение роли ядерного оружия в международной политике и, в долгосрочной перспективе, за запрещение этого вида оружия.","https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D1%82%D0%B1%D0%BB%D0%B0%D1%82,_%D0%94%D0%B6%D0%BE%D0%B7%D0%B5%D1%84"
83,Карлуш Белу,Муж,За усилия по справедливому и мирному разрешению конфликта в Восточном Тиморе.,"https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%83,_%D0%9A%D0%B0%D1%80%D0%BB%D1%83%D1%88"
84,Жозе Рамуш-Орта,Муж,За усилия по справедливому и мирному разрешению конфликта в Восточном Тиморе.,"https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D0%BC%D1%83%D1%88-%D0%9E%D1%80%D1%82%D0%B0,_%D0%96%D0%BE%D0%B7%D0%B5"
85,Джоди Уильямс,Жен,За работу по запрещению и ликвидации противопехотных мин.,"https://ru.wikipedia.org/wiki/%D0%A3%D0%B8%D0%BB%D1%8C%D1%8F%D0%BC%D1%81,_%D0%94%D0%B6%D0%BE%D0%B4%D0%B8"
86,Джон Хьюм,Муж,"За усилия по поиску мирного решения конфликта в Северной Ирландии.
Роль: депутат, лидер Социал-демократической и лейбористской партии.","https://ru.wikipedia.org/wiki/%D0%A5%D1%8C%D1%8E%D0%BC,_%D0%94%D0%B6%D0%BE%D0%BD"
87,Дэвид Тримбл,Муж,"За усилия по поиску мирного решения конфликта в Северной Ирландии.
Роль: депутат, лидер Ольстерской юнионистской партии.","https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%B8%D0%BC%D0%B1%D0%BB,_%D0%94%D1%8D%D0%B2%D0%B8%D0%B4"
88,Ким Дэ Чжун,Муж,"За работу над проблемами демократии и прав человека в Южной Корее и в Восточной Азии в целом, а также за работу по примирению с Северной Кореей в частности.
Роль: президент Южной Кореи.",https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D0%BC_%D0%94%D1%8D_%D0%A7%D0%B6%D1%83%D0%BD
89,Кофи Аннан,Муж,"За вклад в создание более организованного мира и укрепление мира во всем мире.
Роль: генеральный секретарь ООН.","https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%BD%D0%B0%D0%BD,_%D0%9A%D0%BE%D1%84%D0%B8"
90,Джимми Картер,Муж,"За десятилетия работы по поиску мирных решений международных конфликтов, укрепление демократии и прав человека, а также содействие экономическому и социальному развитию.
Роль: 39-й президент Соединённых Штатов Америки.","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D1%82%D0%B5%D1%80,_%D0%94%D0%B6%D0%B8%D0%BC%D0%BC%D0%B8"
91,Ширин Эбади,Жен,"За вклад в развитие демократии и борьбу за права человека, особенно женщин и детей в Иране.","https://ru.wikipedia.org/wiki/%D0%AD%D0%B1%D0%B0%D0%B4%D0%B8,_%D0%A8%D0%B8%D1%80%D0%B8%D0%BD"
92,Вангари Маатаи,Жен,"За вклад в устойчивое развитие, демократию и мир.","https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B0%D1%82%D0%B0%D0%B8,_%D0%92%D0%B0%D0%BD%D0%B3%D0%B0%D1%80%D0%B8"
93,Мохаммед аль-Барадеи,Муж,За усилия по предотвращению использования атомной энергии в военных целях и по обеспечению её применения в мирных целях в максимально безопасных условиях.,"https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D1%8C-%D0%91%D0%B0%D1%80%D0%B0%D0%B4%D0%B5%D0%B8,_%D0%9C%D0%BE%D1%85%D0%B0%D0%BC%D0%BC%D0%B5%D0%B4"
94,Мухаммад Юнус,Муж,"За усилия по созданию основ для социального и экономического развития.
Роль: основатель Grameen Bank.","https://ru.wikipedia.org/wiki/%D0%AE%D0%BD%D1%83%D1%81,_%D0%9C%D1%83%D1%85%D0%B0%D0%BC%D0%BC%D0%B0%D0%B4"
95,Альберт Гор,Муж,"За изучение последствий глобальных климатических изменений, вызванных деятельностью человека, и выработку мер по их возможному предотвращению.","https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80,_%D0%90%D0%BB%D1%8C%D0%B1%D0%B5%D1%80%D1%82"
96,Мартти Ахтисаари,Муж,"За те важные усилия в разрешении международных конфликтов, которые он прилагал на нескольких континентах в течение трёх десятилетий.","https://ru.wikipedia.org/wiki/%D0%90%D1%85%D1%82%D0%B8%D1%81%D0%B0%D0%B0%D1%80%D0%B8,_%D0%9C%D0%B0%D1%80%D1%82%D1%82%D0%B8"
97,Барак Обама,Муж,"За выдающиеся усилия по укреплению международной дипломатии и сотрудничества между народами.
Роль: 44-й президент Соединённых Штатов Америки.","https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D0%B0%D0%BC%D0%B0,_%D0%91%D0%B0%D1%80%D0%B0%D0%BA"
98,Лю Сяобо,Муж,За длительную ненасильственную борьбу за фундаментальные права человека в Китае.,"https://ru.wikipedia.org/wiki/%D0%A1%D0%BF%D0%B8%D1%81%D0%BE%D0%BA_%D0%BB%D0%B0%D1%83%D1%80%D0%B5%D0%B0%D1%82%D0%BE%D0%B2_%D0%9D%D0%BE%D0%B1%D0%B5%D0%BB%D0%B5%D0%B2%D1%81%D0%BA%D0%BE%D0%B9_%D0%BF%D1%80%D0%B5%D0%BC%D0%B8%D0%B8_%D0%BC%D0%B8%D1%80%D0%B0#:~:text=2010-,%D0%9B%D1%8E%20%D0%A1%D1%8F%D0%BE%D0%B1%D0%BE,-(1955%E2%80%942017)"
99,Элен Джонсон-Серлиф,Жен,За ненасильственную борьбу за права и безопасность женщин и участие в миротворческом процессе.,"https://ru.wikipedia.org/wiki/%D0%94%D0%B6%D0%BE%D0%BD%D1%81%D0%BE%D0%BD-%D0%A1%D0%B5%D1%80%D0%BB%D0%B8%D1%84,_%D0%AD%D0%BB%D0%B5%D0%BD"
100,Лейма Гбови,Жен,За ненасильственную борьбу за права и безопасность женщин и участие в миротворческом процессе.,"https://ru.wikipedia.org/wiki/%D0%93%D0%B1%D0%BE%D0%B2%D0%B8,_%D0%9B%D0%B5%D0%B9%D0%BC%D0%B0"
101,Тавакуль Карман,Жен,За ненасильственную борьбу за права и безопасность женщин и участие в миротворческом процессе.,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%BC%D0%B0%D0%BD,_%D0%A2%D0%B0%D0%B2%D0%B0%D0%BA%D1%83%D0%BB%D1%8C"
102,Малала Юсуфзай,Жен,За борьбу против притеснений детей и молодёжи и за права детей на образование.,"https://ru.wikipedia.org/wiki/%D0%AE%D1%81%D1%83%D1%84%D0%B7%D0%B0%D0%B9,_%D0%9C%D0%B0%D0%BB%D0%B0%D0%BB%D0%B0"
103,Кайлаш Сатьяртхи,Муж,За борьбу против притеснений детей и молодёжи и за права детей на образование.,"https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D1%82%D1%8C%D1%8F%D1%80%D1%82%D1%85%D0%B8,_%D0%9A%D0%B0%D0%B9%D0%BB%D0%B0%D1%88"
104,Хуан Сантос,Муж,"За усилия по прекращению в стране более чем полувековой гражданской войны.
Роль: президент Колумбии.","https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BD%D1%82%D0%BE%D1%81,_%D0%A5%D1%83%D0%B0%D0%BD_%D0%9C%D0%B0%D0%BD%D1%83%D1%8D%D0%BB%D1%8C"
105,Дени Муквеге,Муж,За попытку прекратить использование сексуального насилия в качестве оружия в войнах и вооружённых конфликтах.,"https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D0%BA%D0%B2%D0%B5%D0%B3%D0%B5,_%D0%94%D0%B5%D0%BD%D0%B8"
106,Надя Мурад,Жен,За попытку прекратить использование сексуального насилия в качестве оружия в войнах и вооружённых конфликтах.,"https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%80%D0%B0%D0%B4,_%D0%9D%D0%B0%D0%B4%D1%8F"
107,Абий Ахмед Али,Муж,За разрешение пограничного конфликта с Эритреей,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B8%D0%B9_%D0%90%D1%85%D0%BC%D0%B5%D0%B4_%D0%90%D0%BB%D0%B8
108,Мария Ресса,Жен,"За усилия по защите свободы слова, которая является необходимым условием демократии и прочного мира","https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D1%81%D1%81%D0%B0,_%D0%9C%D0%B0%D1%80%D0%B8%D1%8F"
109,Дмитрий Муратов,Муж,"За усилия по защите свободы слова, которая является необходимым условием демократии и прочного мира","https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%80%D0%B0%D1%82%D0%BE%D0%B2,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"